"int_type","list_size","run_time_ms","n_alloc","bytes_used"
"Int8","100","1.358","11","2110"
"Int8","1000","16.382","10","32660"
"Int8","10000","179.624","12","166480"
"Int8","1000000","17701","12","16210000"
